Indice_flesch;NomeArquivo;Preco_arq;med_caracs_pags;nro_caracteres;nro_pags;nro_palavras;numbers;plvr_outra_ling;plvrs_unicas;substantivos;verbos
-7.0;Brock20Biology20of20Microorganisms.pdf;127.42;754.0;25633;34;3406;13;4;1390;1761;405
48.84;buffalo_dc_dc_Dragan_PELSjan03.pdf;345.77;3857.0;34710;9;5192;8;2;1502;2302;739
47.49;Celtic-Mythology-And-Religion.pdf;2791.63;2722.0;261341;96;46729;300;13;7293;14026;6722
-45.94;ch6.pdf;172.03;1104.0;41942;38;5665;37;3;1936;2406;800
62.11;chapmen-obrien-agb-reviewstudy.pdf;593.11;3039.0;79007;26;11926;22;295;3236;5719;1315
58.15;Chapters1-12.pdf;8799.38;1600.0;816165;510;145151;1316;171;15388;51775;22119
0.69;CLAS2000 W16_0.pdf;93.84;1667.0;6668;4;1009;0;0;480;410;139
51.48;Classical Mythology.pdf;2991.09;1979.0;298854;151;49986;286;10;6155;18186;7074
51.07;cod-end.pdf;143.87;2068.0;14474;7;2475;9;0;821;942;364
38.69;Collaboration-1966-ReviewsofEnvironmentandArchaeolog.pdf;840.57;7135.0;92753;13;15401;76;26;3770;5100;1977
-68.1;d113b8702776eb0d9ed53fcb1406ff8782ca.pdf;438.34;328.0;52204;159;7536;27;2;2026;3194;894
48.17;dccl-aaai96.pdf;313.08;3971.0;31770;8;4811;33;3;1673;1886;723
49.75;Deep-Sea_Litter_Study_Using_Deep-Sea_Observation_T.pdf;222.26;1821.0;18213;10;2921;6;16;1072;1550;324
38.52;Dialnet-CelticUndertonesInMacbeth-1980497.pdf;307.53;2052.0;26674;13;4489;20;2;1587;1491;700
16.96;Digital_culture_and_semiotics_View_on_Fa.pdf;125.69;1397.0;8380;6;1361;5;3;550;480;201
30.7;Disentangling_approaches_to_framing_in_c.pdf;1089.32;2520.0;100796;40;14164;64;22;3821;5787;2039
86.21;dmrr.2246 (1).pdf;239.57;2124.0;48848;23;7072;37;30;2263;3328;934
86.21;dmrr.2246.pdf;239.57;2124.0;48848;23;7072;37;30;2263;3328;934
96.76;dmrr.825.pdf;159.8;1766.0;45913;26;6585;22;26;2252;3493;792
35.2;DNA_methylation_profiles_in_monozygotic_and_dizygo.pdf;310.09;4578.0;32046;7;4616;26;13;1600;2192;589
63.53;download.pdf;414.94;1862.0;48424;26;7901;51;7;2368;3441;1102
32.36;Duarte_9918.pdf;91.91;79.0;953;12;142;0;0;101;77;15
53.95;dvdy.24009.pdf;367.95;3558.0;42694;12;6231;8;8;1939;2654;758
53.58;e6b2aae6b19fe882b2e584bfe7bd91_j-k-_rowling_-_hp_4_-_harry_potter_and_the_goblet_of_fire_20140530113342972_570.pdf;11885.23;1398.0;1055605;755;194028;874;19;12161;53857;41275
58.89;e6b2aae6b19fe882b2e584bfe7bd91_j-k-_rowling_-_hp_7_-_harry_potter_and_the_deathly_hallows_20140530113608100_970.pdf;12292.65;1401.0;1094260;781;201309;807;14;13133;53586;42923
34.9;econ_growth_and_carrying_capacity.pdf;145.07;8030.0;16059;2;2605;9;0;1055;1016;345
29.59;EEC_355-154.pdf;308.66;3941.0;27588;7;4034;17;2;1577;1437;685
53.04;Egyptian_mythology_in_the_Shin_Megami_Te.pdf;520.29;2093.0;52315;25;9073;41;3;2190;3692;1171
40.31;EJ712982.pdf;106.38;3569.0;10708;3;1592;8;0;775;497;276
32.57;Eng-8-Rationales.pdf;464.16;2319.0;41734;18;6630;20;0;848;2527;834
28.85;Environment_and_Tourism_RoutledgeBookZa.org_.pdf;7821.11;2002.0;594728;297;86789;275;34;15252;32378;12335
-85.42;Environment_Scarcity_and_Violence.pdf;347.86;5243.0;131078;25;18067;86;11;5550;6618;2553
24.78;euclid.aos.1176347494.pdf;249.11;4.0;119;31;17;0;0;16;7;4
24.78;euclid.aos.1176348368.pdf;185.11;5.0;119;23;17;0;0;16;7;4
56.49;FaceRecognition.pdf;1727.02;3206.0;195557;61;28647;166;95;6477;12620;4312
53.14;Four_centuries_of_geomagnetic_secular_va.pdf;672.72;1971.0;67029;34;10987;36;14;2991;4219;1510
28.2;FULLTEXT01.pdf;574.21;948.0;32226;34;5169;19;2;1187;2214;778
39.1;Game_et_al._2009.pdf;498.78;5347.0;53473;10;7530;18;53;2637;2992;1002
57.4;Gender_Politics_and_the_Gothic_in_Karel_Schoemans.pdf;261.68;2192.0;26308;12;4227;6;29;1427;2403;382
77.57;harry-potter-and-the-cursed-chi-j-k-rowling.pdf;2167.44;936.0;243306;260;42132;177;9;8286;12640;8754
78.01;harry-potter-and-the-sorcerers-stone.pdf;2871.07;1620.0;405014;250;70189;409;13;12452;19776;15587
50.84;HartGeorge_egyptgods2005.pdf;3900.82;2142.0;400467;187;61899;289;36;15182;24004;8440
59.0;hedge.pdf;166.34;1796.0;16167;9;2959;12;1;912;796;509
25.73;IkoSem_a_Model-Centered_Methodology_for_Image_Data.pdf;259.87;1680.0;18478;11;2782;19;2;977;1204;370
56.32;Integrated_transcriptional_profiling_and.pdf;407.45;4405.0;48452;11;7314;38;41;2125;3613;820
33.31;Into_the_Radical_Right_the_Development_o.pdf;112.15;3750.0;11250;3;1633;3;66;901;680;214
41.63;Irrigation water pricing in water user associations Turkey.pdf;316.73;2132.0;27716;13;4081;20;17;1459;1839;573
32.97;Is_conservation_triage_just_smart_decisi.pdf;249.21;4289.0;25732;6;3581;11;21;1466;1516;544
53.48;j-k-rowling-hp-3-harry-potter-and-the-prisoner-of-azkaban.pdf;6902.36;1312.0;597003;455;109308;496;16;9068;32051;23101
54.26;j.1460-2075.1993.tb06127.x.pdf;285.21;4961.0;34724;7;5238;27;20;1866;2363;720
54.36;jbacter00599-0135.pdf;173.06;3278.0;19666;6;2962;2;3;1246;1257;393
64.38;Joanne K. Rowling (Harry Potter, Book 1) - Harry Potter and the Philosophers Stone [EnglishOnlineClub.com].pdf;3602.38;1818.0;420041;231;78737;485;11;7027;22015;16721
12.84;JSEA_2016062716140953.pdf;853.06;3282.0;72193;22;11465;38;10;2006;5151;1293
56.46;kc.pdf;145.19;1202.0;12022;10;2094;2;2;742;838;302
35.85;Kirk-Monthly.pdf;123.89;2114.0;10572;5;1881;7;2;690;877;262
35.0;Kitano_s02.pdf;200.4;5344.0;21377;4;3051;7;18;1297;1258;462
36.15;Language Music and Mind.pdf;4386.98;2141.0;389733;182;61850;289;18;8880;18572;9236
50.5;lighting.pdf;310.76;1490.0;28305;19;4377;11;1;1527;1691;696
32.33;LSE1989_pp29-45_Dronke_article.pdf;413.57;1961.0;35296;18;6088;25;1;2019;2083;781
47.76;m273p065.pdf;594.31;3964.0;59467;15;9020;5;37;2834;4460;995
36.66;m334p001.pdf;373.8;4235.0;38111;9;5428;7;9;2030;2670;637
19.74;ManagementLearning-2014-Schedlitzki-1350507614560303.pdf;627.35;3410.0;54563;16;8181;22;17;1827;2869;1124
-2.94;Media Literacy_Research_Education__20150413165607_CHFFHAEB.pdf;117.32;1800.0;34191;19;5256;15;1;1751;2120;731
26.17;Media_603121_smxx.pdf;1262.9;2174.0;97840;45;15827;59;8;4316;5388;2213
-0.03;MGMT003_LooKheeSheng.pdf;30.77;1763.0;8814;5;1346;5;1;582;666;159
38.96;Microstructures of Organometal Trihalide Perovskites for Solar Cells Their Evolution from Solutions and Characterization.pdf;591.07;4675.0;60770;13;9026;22;12;2862;4634;985
44.07;Minder_et_al_CrowdManager_SCUGC_2012.pdf;616.49;3363.0;60532;18;9408;32;22;2228;3629;1377
34.49;Monitoring_does_not_always_count.pdf;182.17;4778.0;19112;4;2644;6;2;1104;1166;389
35.41;MUSI1306_76270 1-17-12.pdf;76.28;995.0;4976;5;844;10;0;433;363;124
42.95;nltk.pdf;160.59;3153.0;15765;5;2234;6;0;916;758;418
21.95;Norse Mythological Elements in _i_The Hobbit__i_.pdf;338.55;5384.0;26920;5;8279;22;35;1335;4699;1036
49.52;Norse_Mythology_Legends_of_Gods_and_Hero.pdf;7814.4;1540.0;614344;399;111993;684;36;11217;35774;18561
